month,loads_day,rho_shovel,saturated,stations_found,driving_pct,top_lever,margin,tied,shovel_queue_rank,road_return_rank,floor_pct,ceil_pct
2025-07,52.4,0.42,False,2,38,Queue at Баруун наран пүү/Ухаа/ + ,2.4,True,7,3,31,36
2025-08,87.4,0.55,False,2,35,Queue at Баруун наран пүү/Ухаа/ + ,4.6,True,6,4,22,44
2025-09,84.5,0.54,False,2,39,Queue at Баруун наран пүү/Ухаа/ + ,0.5,True,5,4,36,40
2025-10,98.9,0.63,False,2,38,Stopped somewhere unmapped (only 1,1.1,True,3,5,30,36
2025-11,88.6,0.56,False,2,43,Queue at Баруун наран пүү/Ухаа/ + ,0.0,True,3,5,21,38
